feature	annA	geneA	txA	annB	geneB	txB	stats
gene	Ensembl	gene:ENSSSAG00000077459	.	Liftoff	gene:ENSSSAG00000077459	.	txA=1;txB=1;overlap_tx_pairs=1;matching_tx_pairs=1;exon_bp_A=1425;exon_bp_B=1425;exon_bp_overlap=1425;gene_bp_overlap=4500;strand_match=1
transcript	Ensembl	gene:ENSSSAG00000077459	transcript:ENSSSAT00000143654	Liftoff	gene:ENSSSAG00000077459	transcript:ENSSSAT00000143654	exonsA=2;exonsB=2;match_exons=2;intronsA=1;intronsB=1;match_introns=1;bpA=1425;bpB=1425;bp_overlap=1425;cds_bpA=921;cds_bpB=921;cds_bp_overlap_same_phase=921
gene	Ensembl	gene:ENSSSAG00000110153	.	Liftoff	gene:ENSSSAG00000065738	.	txA=1;txB=3;overlap_tx_pairs=3;matching_tx_pairs=0;exon_bp_A=3895;exon_bp_B=826;exon_bp_overlap=801;gene_bp_overlap=3278;strand_match=1
transcript	Ensembl	gene:ENSSSAG00000110153	transcript:ENSSSAT00000247659	Liftoff	gene:ENSSSAG00000065738	transcript:ENSSSAT00000110316	exonsA=5;exonsB=5;match_exons=3;intronsA=4;intronsB=4;match_introns=4;bpA=3895;bpB=801;bp_overlap=801;cds_bpA=621;cds_bpB=621;cds_bp_overlap_same_phase=621
transcript	Ensembl	gene:ENSSSAG00000110153	transcript:ENSSSAT00000247659	Liftoff	gene:ENSSSAG00000065738	transcript:ENSSSAT00000110324	exonsA=5;exonsB=6;match_exons=2;intronsA=4;intronsB=5;match_introns=4;bpA=3895;bpB=726;bp_overlap=726;cds_bpA=621;cds_bpB=546;cds_bp_overlap_same_phase=546
transcript	Ensembl	gene:ENSSSAG00000110153	transcript:ENSSSAT00000247659	Liftoff	gene:ENSSSAG00000065738	transcript:ENSSSAT00000110349	exonsA=5;exonsB=6;match_exons=1;intronsA=4;intronsB=5;match_introns=3;bpA=3895;bpB=630;bp_overlap=605;cds_bpA=621;cds_bpB=576;cds_bp_overlap_same_phase=549
gene	Ensembl	gene:ENSSSAG00000081830	.	Liftoff	gene:ENSSSAG00000065764	.	txA=1;txB=2;overlap_tx_pairs=2;matching_tx_pairs=0;exon_bp_A=3584;exon_bp_B=1146;exon_bp_overlap=1146;gene_bp_overlap=3935;strand_match=1
transcript	Ensembl	gene:ENSSSAG00000081830	transcript:ENSSSAT00000231805	Liftoff	gene:ENSSSAG00000065764	transcript:ENSSSAT00000110362	exonsA=2;exonsB=2;match_exons=1;intronsA=1;intronsB=1;match_introns=1;bpA=3584;bpB=1146;bp_overlap=1146;cds_bpA=1122;cds_bpB=1122;cds_bp_overlap_same_phase=1122
transcript	Ensembl	gene:ENSSSAG00000081830	transcript:ENSSSAT00000231805	Liftoff	gene:ENSSSAG00000065764	transcript:ENSSSAT00000110372	exonsA=2;exonsB=3;match_exons=1;intronsA=1;intronsB=2;match_introns=1;bpA=3584;bpB=978;bp_overlap=978;cds_bpA=1122;cds_bpB=954;cds_bp_overlap_same_phase=906
gene	Ensembl	gene:ENSSSAG00000065769	.	Liftoff	gene:ENSSSAG00000065769	.	txA=3;txB=2;overlap_tx_pairs=4;matching_tx_pairs=2;exon_bp_A=4971;exon_bp_B=2195;exon_bp_overlap=2195;gene_bp_overlap=30564;strand_match=1
transcript	Ensembl	gene:ENSSSAG00000065769	transcript:ENSSSAT00000234224	Liftoff	gene:ENSSSAG00000065769	transcript:ENSSSAT00000110389	exonsA=3;exonsB=2;match_exons=0;intronsA=2;intronsB=1;match_introns=0;bpA=4218;bpB=1450;bp_overlap=939;cds_bpA=903;cds_bpB=810;cds_bp_overlap_same_phase=368
transcript	Ensembl	gene:ENSSSAG00000065769	transcript:ENSSSAT00000234224	Liftoff	gene:ENSSSAG00000065769	transcript:ENSSSAT00000110393	exonsA=3;exonsB=2;match_exons=0;intronsA=2;intronsB=1;match_introns=0;bpA=4218;bpB=745;bp_overlap=503;cds_bpA=903;cds_bpB=705;cds_bp_overlap_same_phase=487
transcript	Ensembl	gene:ENSSSAG00000065769	transcript:ENSSSAT00000110389	Liftoff	gene:ENSSSAG00000065769	transcript:ENSSSAT00000110389	exonsA=2;exonsB=2;match_exons=2;intronsA=1;intronsB=1;match_introns=1;bpA=1450;bpB=1450;bp_overlap=1450;cds_bpA=810;cds_bpB=810;cds_bp_overlap_same_phase=810
transcript	Ensembl	gene:ENSSSAG00000065769	transcript:ENSSSAT00000110393	Liftoff	gene:ENSSSAG00000065769	transcript:ENSSSAT00000110393	exonsA=2;exonsB=2;match_exons=2;intronsA=1;intronsB=1;match_introns=1;bpA=745;bpB=745;bp_overlap=745;cds_bpA=705;cds_bpB=705;cds_bp_overlap_same_phase=705
gene	Ensembl	gene:ENSSSAG00000065777	.	Liftoff	gene:ENSSSAG00000065777	.	txA=2;txB=1;overlap_tx_pairs=2;matching_tx_pairs=0;exon_bp_A=1783;exon_bp_B=688;exon_bp_overlap=688;gene_bp_overlap=1244;strand_match=1
transcript	Ensembl	gene:ENSSSAG00000065777	transcript:ENSSSAT00000245752	Liftoff	gene:ENSSSAG00000065777	transcript:ENSSSAT00000110410	exonsA=2;exonsB=2;match_exons=1;intronsA=1;intronsB=1;match_introns=1;bpA=1299;bpB=688;bp_overlap=688;cds_bpA=687;cds_bpB=687;cds_bp_overlap_same_phase=687
transcript	Ensembl	gene:ENSSSAG00000065777	transcript:ENSSSAT00000110410	Liftoff	gene:ENSSSAG00000065777	transcript:ENSSSAT00000110410	exonsA=3;exonsB=2;match_exons=1;intronsA=2;intronsB=1;match_introns=1;bpA=1084;bpB=688;bp_overlap=600;cds_bpA=645;cds_bpB=687;cds_bp_overlap_same_phase=599
gene	Ensembl	gene:ENSSSAG00000065782	.	Liftoff	gene:ENSSSAG00000065782	.	txA=1;txB=1;overlap_tx_pairs=1;matching_tx_pairs=0;exon_bp_A=2465;exon_bp_B=1364;exon_bp_overlap=1358;gene_bp_overlap=2658;strand_match=1
transcript	Ensembl	gene:ENSSSAG00000065782	transcript:ENSSSAT00000110421	Liftoff	gene:ENSSSAG00000065782	transcript:ENSSSAT00000110421	exonsA=2;exonsB=2;match_exons=0;intronsA=1;intronsB=1;match_introns=0;bpA=2465;bpB=1364;bp_overlap=1358;cds_bpA=762;cds_bpB=768;cds_bp_overlap_same_phase=762
gene	Ensembl	gene:ENSSSAG00000116370	.	Liftoff	gene:ENSSSAG00000065789	.	txA=1;txB=3;overlap_tx_pairs=2;matching_tx_pairs=1;exon_bp_A=1112;exon_bp_B=4238;exon_bp_overlap=1112;gene_bp_overlap=2129;strand_match=1
transcript	Ensembl	gene:ENSSSAG00000116370	transcript:ENSSSAT00000110437	Liftoff	gene:ENSSSAG00000065789	transcript:ENSSSAT00000110436	exonsA=2;exonsB=2;match_exons=0;intronsA=1;intronsB=1;match_introns=0;bpA=1112;bpB=2828;bp_overlap=375;cds_bpA=789;cds_bpB=993;cds_bp_overlap_same_phase=248
transcript	Ensembl	gene:ENSSSAG00000116370	transcript:ENSSSAT00000110437	Liftoff	gene:ENSSSAG00000065789	transcript:ENSSSAT00000110437	exonsA=2;exonsB=2;match_exons=2;intronsA=1;intronsB=1;match_introns=1;bpA=1112;bpB=1112;bp_overlap=1112;cds_bpA=789;cds_bpB=789;cds_bp_overlap_same_phase=789
gene	Ensembl	gene:ENSSSAG00000065789	.	Liftoff	gene:ENSSSAG00000065789	.	txA=2;txB=3;overlap_tx_pairs=4;matching_tx_pairs=1;exon_bp_A=1499;exon_bp_B=4238;exon_bp_overlap=1418;gene_bp_overlap=4515;strand_match=1
transcript	Ensembl	gene:ENSSSAG00000065789	transcript:ENSSSAT00000110436	Liftoff	gene:ENSSSAG00000065789	transcript:ENSSSAT00000110436	exonsA=3;exonsB=2;match_exons=0;intronsA=2;intronsB=1;match_introns=0;bpA=1110;bpB=2828;bp_overlap=745;cds_bpA=945;cds_bpB=993;cds_bp_overlap_same_phase=745
transcript	Ensembl	gene:ENSSSAG00000065789	transcript:ENSSSAT00000110436	Liftoff	gene:ENSSSAG00000065789	transcript:ENSSSAT00000110439	exonsA=3;exonsB=2;match_exons=1;intronsA=2;intronsB=1;match_introns=1;bpA=1110;bpB=1418;bp_overlap=1029;cds_bpA=945;cds_bpB=1026;cds_bp_overlap_same_phase=866
transcript	Ensembl	gene:ENSSSAG00000065789	transcript:ENSSSAT00000110439	Liftoff	gene:ENSSSAG00000065789	transcript:ENSSSAT00000110436	exonsA=2;exonsB=2;match_exons=0;intronsA=1;intronsB=1;match_introns=0;bpA=1418;bpB=2828;bp_overlap=745;cds_bpA=1026;cds_bpB=993;cds_bp_overlap_same_phase=745
transcript	Ensembl	gene:ENSSSAG00000065789	transcript:ENSSSAT00000110439	Liftoff	gene:ENSSSAG00000065789	transcript:ENSSSAT00000110439	exonsA=2;exonsB=2;match_exons=2;intronsA=1;intronsB=1;match_introns=1;bpA=1418;bpB=1418;bp_overlap=1418;cds_bpA=1026;cds_bpB=1026;cds_bp_overlap_same_phase=1026
gene	Ensembl	gene:ENSSSAG00000065795	.	Liftoff	gene:ENSSSAG00000065795	.	txA=1;txB=1;overlap_tx_pairs=1;matching_tx_pairs=0;exon_bp_A=1475;exon_bp_B=1897;exon_bp_overlap=1041;gene_bp_overlap=2991;strand_match=1
transcript	Ensembl	gene:ENSSSAG00000065795	transcript:ENSSSAT00000110454	Liftoff	gene:ENSSSAG00000065795	transcript:ENSSSAT00000110454	exonsA=2;exonsB=2;match_exons=0;intronsA=1;intronsB=1;match_introns=1;bpA=1475;bpB=1897;bp_overlap=1041;cds_bpA=933;cds_bpB=933;cds_bp_overlap_same_phase=933
gene	Ensembl	gene:ENSSSAG00000065800	.	Liftoff	gene:ENSSSAG00000065800	.	txA=1;txB=2;overlap_tx_pairs=2;matching_tx_pairs=0;exon_bp_A=1566;exon_bp_B=1143;exon_bp_overlap=927;gene_bp_overlap=2520;strand_match=1
transcript	Ensembl	gene:ENSSSAG00000065800	transcript:ENSSSAT00000110460	Liftoff	gene:ENSSSAG00000065800	transcript:ENSSSAT00000110460	exonsA=3;exonsB=3;match_exons=2;intronsA=2;intronsB=2;match_introns=2;bpA=1566;bpB=927;bp_overlap=927;cds_bpA=855;cds_bpB=855;cds_bp_overlap_same_phase=855
transcript	Ensembl	gene:ENSSSAG00000065800	transcript:ENSSSAT00000110460	Liftoff	gene:ENSSSAG00000065800	transcript:ENSSSAT00000110461	exonsA=3;exonsB=2;match_exons=1;intronsA=2;intronsB=1;match_introns=1;bpA=1566;bpB=1065;bp_overlap=849;cds_bpA=855;cds_bpB=855;cds_bp_overlap_same_phase=777
gene	Ensembl	gene:ENSSSAG00000065802	.	Liftoff	gene:ENSSSAG00000065802	.	txA=1;txB=1;overlap_tx_pairs=1;matching_tx_pairs=1;exon_bp_A=1412;exon_bp_B=1412;exon_bp_overlap=1412;gene_bp_overlap=3553;strand_match=1
transcript	Ensembl	gene:ENSSSAG00000065802	transcript:ENSSSAT00000110464	Liftoff	gene:ENSSSAG00000065802	transcript:ENSSSAT00000110464	exonsA=2;exonsB=2;match_exons=2;intronsA=1;intronsB=1;match_introns=1;bpA=1412;bpB=1412;bp_overlap=1412;cds_bpA=924;cds_bpB=924;cds_bp_overlap_same_phase=924
gene	Liftoff	gene:ENSSSAG00000077510	.	Ensembl	gene:ENSSSAG00000096644	.	txA=1;txB=1;overlap_tx_pairs=1;matching_tx_pairs=0;exon_bp_A=1049;exon_bp_B=3233;exon_bp_overlap=771;gene_bp_overlap=4571;strand_match=1
transcript	Liftoff	gene:ENSSSAG00000077510	transcript:ENSSSAT00000143756	Ensembl	gene:ENSSSAG00000096644	transcript:ENSSSAT00000177260	exonsA=6;exonsB=5;match_exons=4;intronsA=5;intronsB=4;match_introns=4;bpA=1049;bpB=3233;bp_overlap=771;cds_bpA=696;cds_bpB=696;cds_bp_overlap_same_phase=696
gene	Liftoff	gene:ENSSSAG00000077491	.	Ensembl	gene:ENSSSAG00000116092	.	txA=1;txB=1;overlap_tx_pairs=1;matching_tx_pairs=0;exon_bp_A=2021;exon_bp_B=9833;exon_bp_overlap=1450;gene_bp_overlap=50373;strand_match=1
transcript	Liftoff	gene:ENSSSAG00000077491	transcript:ENSSSAT00000143725	Ensembl	gene:ENSSSAG00000116092	transcript:ENSSSAT00000212336	exonsA=4;exonsB=8;match_exons=2;intronsA=3;intronsB=7;match_introns=2;bpA=2021;bpB=9833;bp_overlap=1450;cds_bpA=1173;cds_bpB=1173;cds_bp_overlap_same_phase=1173
gene	Liftoff	gene:ENSSSAG00000077504	.	Ensembl	gene:ENSSSAG00000077504	.	txA=1;txB=1;overlap_tx_pairs=1;matching_tx_pairs=1;exon_bp_A=1348;exon_bp_B=1348;exon_bp_overlap=1348;gene_bp_overlap=1898;strand_match=1
transcript	Liftoff	gene:ENSSSAG00000077504	transcript:ENSSSAT00000143752	Ensembl	gene:ENSSSAG00000077504	transcript:ENSSSAT00000143752	exonsA=2;exonsB=2;match_exons=2;intronsA=1;intronsB=1;match_introns=1;bpA=1348;bpB=1348;bp_overlap=1348;cds_bpA=810;cds_bpB=810;cds_bp_overlap_same_phase=810
gene	Liftoff	gene:ENSSSAG00000077502	.	Ensembl	gene:ENSSSAG00000116092	.	txA=1;txB=1;overlap_tx_pairs=1;matching_tx_pairs=0;exon_bp_A=816;exon_bp_B=9833;exon_bp_overlap=816;gene_bp_overlap=1803;strand_match=1
transcript	Liftoff	gene:ENSSSAG00000077502	transcript:ENSSSAT00000143743	Ensembl	gene:ENSSSAG00000116092	transcript:ENSSSAT00000212336	exonsA=2;exonsB=8;match_exons=0;intronsA=1;intronsB=7;match_introns=1;bpA=816;bpB=9833;bp_overlap=816;cds_bpA=714;cds_bpB=1173;cds_bp_overlap_same_phase=0
gene	Liftoff	gene:ENSSSAG00000077496	.	Ensembl	gene:ENSSSAG00000116092	.	txA=1;txB=1;overlap_tx_pairs=1;matching_tx_pairs=0;exon_bp_A=1581;exon_bp_B=9833;exon_bp_overlap=476;gene_bp_overlap=2072;strand_match=1
transcript	Liftoff	gene:ENSSSAG00000077496	transcript:ENSSSAT00000143735	Ensembl	gene:ENSSSAG00000116092	transcript:ENSSSAT00000212336	exonsA=2;exonsB=8;match_exons=0;intronsA=1;intronsB=7;match_introns=1;bpA=1581;bpB=9833;bp_overlap=476;cds_bpA=717;cds_bpB=1173;cds_bp_overlap_same_phase=0
gene	Liftoff	gene:ENSSSAG00000077484	.	Ensembl	gene:ENSSSAG00000077484	.	txA=1;txB=1;overlap_tx_pairs=1;matching_tx_pairs=1;exon_bp_A=1275;exon_bp_B=1275;exon_bp_overlap=1275;gene_bp_overlap=2593;strand_match=1
transcript	Liftoff	gene:ENSSSAG00000077484	transcript:ENSSSAT00000143720	Ensembl	gene:ENSSSAG00000077484	transcript:ENSSSAT00000143720	exonsA=2;exonsB=2;match_exons=2;intronsA=1;intronsB=1;match_introns=1;bpA=1275;bpB=1275;bp_overlap=1275;cds_bpA=759;cds_bpB=759;cds_bp_overlap_same_phase=759
gene	Liftoff	gene:ENSSSAG00000077481	.	Ensembl	gene:ENSSSAG00000077481	.	txA=1;txB=1;overlap_tx_pairs=1;matching_tx_pairs=0;exon_bp_A=1200;exon_bp_B=1209;exon_bp_overlap=1200;gene_bp_overlap=2280;strand_match=1
transcript	Liftoff	gene:ENSSSAG00000077481	transcript:ENSSSAT00000143708	Ensembl	gene:ENSSSAG00000077481	transcript:ENSSSAT00000143708	exonsA=2;exonsB=2;match_exons=1;intronsA=1;intronsB=1;match_introns=1;bpA=1200;bpB=1209;bp_overlap=1200;cds_bpA=819;cds_bpB=819;cds_bp_overlap_same_phase=819
gene	Liftoff	gene:ENSSSAG00000077476	.	Ensembl	gene:ENSSSAG00000077476	.	txA=1;txB=1;overlap_tx_pairs=1;matching_tx_pairs=0;exon_bp_A=1323;exon_bp_B=1374;exon_bp_overlap=1323;gene_bp_overlap=3464;strand_match=1
transcript	Liftoff	gene:ENSSSAG00000077476	transcript:ENSSSAT00000143702	Ensembl	gene:ENSSSAG00000077476	transcript:ENSSSAT00000143702	exonsA=2;exonsB=2;match_exons=1;intronsA=1;intronsB=1;match_introns=1;bpA=1323;bpB=1374;bp_overlap=1323;cds_bpA=1035;cds_bpB=1035;cds_bp_overlap_same_phase=1035
gene	Liftoff	gene:ENSSSAG00000077471	.	Ensembl	gene:ENSSSAG00000077471	.	txA=2;txB=1;overlap_tx_pairs=2;matching_tx_pairs=0;exon_bp_A=1098;exon_bp_B=1319;exon_bp_overlap=958;gene_bp_overlap=10393;strand_match=1
transcript	Liftoff	gene:ENSSSAG00000077471	transcript:ENSSSAT00000143686	Ensembl	gene:ENSSSAG00000077471	transcript:ENSSSAT00000143686	exonsA=3;exonsB=4;match_exons=2;intronsA=2;intronsB=3;match_introns=2;bpA=958;bpB=1319;bp_overlap=958;cds_bpA=858;cds_bpB=858;cds_bp_overlap_same_phase=858
transcript	Liftoff	gene:ENSSSAG00000077471	transcript:ENSSSAT00000143692	Ensembl	gene:ENSSSAG00000077471	transcript:ENSSSAT00000143686	exonsA=2;exonsB=4;match_exons=1;intronsA=1;intronsB=3;match_introns=1;bpA=1074;bpB=1319;bp_overlap=934;cds_bpA=924;cds_bpB=858;cds_bp_overlap_same_phase=834
gene	Liftoff	gene:ENSSSAG00000077464	.	Ensembl	gene:ENSSSAG00000077464	.	txA=1;txB=1;overlap_tx_pairs=1;matching_tx_pairs=1;exon_bp_A=1030;exon_bp_B=1030;exon_bp_overlap=1030;gene_bp_overlap=1999;strand_match=1
transcript	Liftoff	gene:ENSSSAG00000077464	transcript:ENSSSAT00000143673	Ensembl	gene:ENSSSAG00000077464	transcript:ENSSSAT00000143673	exonsA=2;exonsB=2;match_exons=2;intronsA=1;intronsB=1;match_introns=1;bpA=1030;bpB=1030;bp_overlap=1030;cds_bpA=855;cds_bpB=855;cds_bp_overlap_same_phase=855
gene	Liftoff	gene:ENSSSAG00000077459	.	Ensembl	gene:ENSSSAG00000077459	.	txA=1;txB=1;overlap_tx_pairs=1;matching_tx_pairs=1;exon_bp_A=1425;exon_bp_B=1425;exon_bp_overlap=1425;gene_bp_overlap=4500;strand_match=1
transcript	Liftoff	gene:ENSSSAG00000077459	transcript:ENSSSAT00000143654	Ensembl	gene:ENSSSAG00000077459	transcript:ENSSSAT00000143654	exonsA=2;exonsB=2;match_exons=2;intronsA=1;intronsB=1;match_introns=1;bpA=1425;bpB=1425;bp_overlap=1425;cds_bpA=921;cds_bpB=921;cds_bp_overlap_same_phase=921
gene	Liftoff	gene:ENSSSAG00000065738	.	Ensembl	gene:ENSSSAG00000110153	.	txA=3;txB=1;overlap_tx_pairs=3;matching_tx_pairs=0;exon_bp_A=826;exon_bp_B=3895;exon_bp_overlap=801;gene_bp_overlap=3278;strand_match=1
transcript	Liftoff	gene:ENSSSAG00000065738	transcript:ENSSSAT00000110316	Ensembl	gene:ENSSSAG00000110153	transcript:ENSSSAT00000247659	exonsA=5;exonsB=5;match_exons=3;intronsA=4;intronsB=4;match_introns=4;bpA=801;bpB=3895;bp_overlap=801;cds_bpA=621;cds_bpB=621;cds_bp_overlap_same_phase=621
transcript	Liftoff	gene:ENSSSAG00000065738	transcript:ENSSSAT00000110324	Ensembl	gene:ENSSSAG00000110153	transcript:ENSSSAT00000247659	exonsA=6;exonsB=5;match_exons=2;intronsA=5;intronsB=4;match_introns=4;bpA=726;bpB=3895;bp_overlap=726;cds_bpA=546;cds_bpB=621;cds_bp_overlap_same_phase=546
transcript	Liftoff	gene:ENSSSAG00000065738	transcript:ENSSSAT00000110349	Ensembl	gene:ENSSSAG00000110153	transcript:ENSSSAT00000247659	exonsA=6;exonsB=5;match_exons=1;intronsA=5;intronsB=4;match_introns=3;bpA=630;bpB=3895;bp_overlap=605;cds_bpA=576;cds_bpB=621;cds_bp_overlap_same_phase=549
gene	Liftoff	gene:ENSSSAG00000065764	.	Ensembl	gene:ENSSSAG00000081830	.	txA=2;txB=1;overlap_tx_pairs=2;matching_tx_pairs=0;exon_bp_A=1146;exon_bp_B=3584;exon_bp_overlap=1146;gene_bp_overlap=3935;strand_match=1
transcript	Liftoff	gene:ENSSSAG00000065764	transcript:ENSSSAT00000110362	Ensembl	gene:ENSSSAG00000081830	transcript:ENSSSAT00000231805	exonsA=2;exonsB=2;match_exons=1;intronsA=1;intronsB=1;match_introns=1;bpA=1146;bpB=3584;bp_overlap=1146;cds_bpA=1122;cds_bpB=1122;cds_bp_overlap_same_phase=1122
transcript	Liftoff	gene:ENSSSAG00000065764	transcript:ENSSSAT00000110372	Ensembl	gene:ENSSSAG00000081830	transcript:ENSSSAT00000231805	exonsA=3;exonsB=2;match_exons=1;intronsA=2;intronsB=1;match_introns=1;bpA=978;bpB=3584;bp_overlap=978;cds_bpA=954;cds_bpB=1122;cds_bp_overlap_same_phase=906
