gene_id	seqid	strand	biotype	name	description
ENSSSAG00000000123	ssa01	.	lncRNA		
ENSSSAG00000000124	ssa01	.	lncRNA		
ENSSSAG00000000125	ssa01	.	lncRNA		
ENSSSAG00000000133	ssa01	.	protein_coding	egr2b	early growth response protein 2b [Source:NCBI gene%3BAcc:100194495]
ENSSSAG00000000139	ssa01	.	pseudogene		
ENSSSAG00000000167	ssa01	.	snoRNA		
ENSSSAG00000000173	ssa01	.	lncRNA		
ENSSSAG00000000178	ssa01	.	pseudogene		
ENSSSAG00000000180	ssa01	.	miRNA	ssa-mir-122-2	ssa-mir-122-2 [Source:miRBase%3BAcc:MI0026451]
ENSSSAG00000000189	ssa02	.	miRNA	ssa-mir-216b	ssa-mir-216b [Source:miRBase%3BAcc:MI0026615]
ENSSSAG00000000206	ssa03	.	lncRNA		
ENSSSAG00000000211	ssa01	.	protein_coding	bnip3	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like [Source:NCBI gene%3BAcc:106614017]
ENSSSAG00000000214	ssa02	.	lncRNA		uncharacterized LOC106590493 [Source:NCBI gene%3BAcc:106590493]
ENSSSAG00000000234	ssa01	.	lncRNA		
ENSSSAG00000000235	ssa01	.	lncRNA		
ENSSSAG00000000237	ssa01	.	lncRNA		
ENSSSAG00000000246	ssa01	.	lncRNA		
ENSSSAG00000000257	ssa02	.	lncRNA		
ENSSSAG00000000264	ssa02	.	protein_coding		guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5-like [Source:NCBI gene%3BAcc:106592341]
ENSSSAG00000000291	ssa03	.	lncRNA		
ENSSSAG00000000297	ssa02	.	lncRNA		
ENSSSAG00000000314	ssa02	.	miRNA	ssa-mir-137-2	ssa-mir-137-2 [Source:miRBase%3BAcc:MI0026492]
ENSSSAG00000000327	ssa02	.	lncRNA		
ENSSSAG00000000329	ssa03	.	snoRNA		
ENSSSAG00000000334	ssa02	.	lncRNA		
ENSSSAG00000000336	ssa02	.	lncRNA		paralemmin-3-like [Source:NCBI gene%3BAcc:106589665]
ENSSSAG00000000337	ssa03	.	lncRNA		
ENSSSAG00000000340	ssa02	.	lncRNA		
ENSSSAG00000000350	ssa03	.	snRNA	U7	U7 small nuclear RNA [Source:RFAM%3BAcc:RF00066]
ENSSSAG00000000361	ssa04	.	lncRNA		
ENSSSAG00000000370	ssa01	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000000372	ssa01	.	rRNA	5S_rRNA	5S ribosomal RNA [Source:RFAM%3BAcc:RF00001]
ENSSSAG00000000376	ssa04	.	protein_coding	zn330	Zinc finger protein 330 [Source:NCBI gene%3BAcc:100286436]
ENSSSAG00000000386	ssa01	.	lncRNA		
ENSSSAG00000000394	ssa02	.	lncRNA		
ENSSSAG00000000400	ssa03	.	lncRNA		
ENSSSAG00000000419	ssa03	.	lncRNA		
ENSSSAG00000000422	ssa02	.	lncRNA		
ENSSSAG00000000427	ssa01	.	lncRNA		
ENSSSAG00000000440	ssa02	.	lncRNA		
ENSSSAG00000000445	ssa02	.	lncRNA		
ENSSSAG00000000453	ssa02	.	lncRNA		
ENSSSAG00000000464	ssa02	.	pseudogene		
ENSSSAG00000000466	ssa01	.	lncRNA		
ENSSSAG00000000470	ssa02	.	snoRNA		
ENSSSAG00000000471	ssa02	.	protein_coding	gde1	glycerophosphodiester phosphodiesterase 1-like [Source:NCBI gene%3BAcc:106589785]
ENSSSAG00000000474	ssa03	.	protein_coding	gtpbp1	GTP-binding protein 1-like [Source:NCBI gene%3BAcc:106601690]
ENSSSAG00000000476	ssa02	.	protein_coding		gastrula zinc finger protein XlCGF57.1-like [Source:NCBI gene%3BAcc:106591570]
ENSSSAG00000000504	ssa02	.	lncRNA		uncharacterized LOC106589852 [Source:NCBI gene%3BAcc:106589852]
ENSSSAG00000000506	ssa03	.	protein_coding	bptf	nucleosome-remodeling factor subunit BPTF-like [Source:NCBI gene%3BAcc:106601392]
ENSSSAG00000000517	ssa02	.	lncRNA		
ENSSSAG00000000539	ssa01	.	lncRNA		
ENSSSAG00000000542	ssa02	.	miRNA	ssa-mir-137-2	ssa-mir-137-2 [Source:miRBase%3BAcc:MI0026492]
ENSSSAG00000000557	ssa02	.	protein_coding	cnnm2	cyclin and CBS domain divalent metal cation transport mediator 2 [Source:NCBI gene%3BAcc:106588770]
ENSSSAG00000000573	ssa01	.	lncRNA		
ENSSSAG00000000574	ssa01	.	processed_pseudogene		
ENSSSAG00000000575	ssa03	.	lncRNA		
ENSSSAG00000000587	ssa01	.	miRNA	ssa-mir-338a-2	ssa-mir-338a-2 [Source:miRBase%3BAcc:MI0026687]
ENSSSAG00000000612	ssa01	.	lncRNA		
ENSSSAG00000000624	ssa02	.	lncRNA		
ENSSSAG00000000646	ssa02	.	lncRNA		
ENSSSAG00000000648	ssa02	.	lncRNA		
ENSSSAG00000000649	ssa02	.	lncRNA		
ENSSSAG00000000663	ssa02	.	lncRNA		
ENSSSAG00000000668	ssa03	.	lncRNA		
ENSSSAG00000000684	ssa01	.	miRNA	ssa-mir-301a-1	ssa-mir-301a-1 [Source:miRBase%3BAcc:MI0026670]
ENSSSAG00000000696	ssa03	.	miRNA	ssa-mir-33a-2	ssa-mir-33a-2 [Source:miRBase%3BAcc:MI0026691]
ENSSSAG00000000700	ssa01	.	lncRNA		
ENSSSAG00000000714	ssa03	.	protein_coding		
ENSSSAG00000000722	ssa03	.	lncRNA		
ENSSSAG00000000741	ssa02	.	pseudogene		
ENSSSAG00000000745	ssa03	.	protein_coding	sox10	transcription factor Sox-10-like [Source:NCBI gene%3BAcc:106601220]
ENSSSAG00000000751	ssa02	.	lncRNA		
ENSSSAG00000000760	ssa02	.	lncRNA		
ENSSSAG00000000770	ssa02	.	lncRNA		
ENSSSAG00000000773	ssa02	.	lncRNA		
ENSSSAG00000000801	ssa01	.	pseudogene		
ENSSSAG00000000811	ssa04	.	protein_coding	G3BP2	ras GTPase-activating protein-binding protein 2-like [Source:NCBI gene%3BAcc:106602326]
ENSSSAG00000000812	ssa02	.	protein_coding		
ENSSSAG00000000833	ssa04	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000000834	ssa04	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000000845	ssa03	.	lncRNA		
ENSSSAG00000000858	ssa01	.	miRNA		microRNA 455 [Source:HGNC Symbol%3BAcc:HGNC:32344]
ENSSSAG00000000865	ssa01	.	lncRNA		
ENSSSAG00000000868	ssa03	.	protein_coding	akt1s1	uncharacterized LOC106601514 [Source:NCBI gene%3BAcc:106601514]
ENSSSAG00000000878	ssa03	.	protein_coding	si:dkeyp-72e1.7	si:dkeyp-72e1.7 [Source:ZFIN%3BAcc:ZDB-GENE-120215-229]
ENSSSAG00000000886	ssa02	.	lncRNA		
ENSSSAG00000000895	ssa03	.	miRNA	ssa-mir-199a-4	ssa-mir-199a-4 [Source:miRBase%3BAcc:MI0026568]
ENSSSAG00000000908	ssa02	.	lncRNA		
ENSSSAG00000000938	ssa03	.	miRNA	ssa-mir-1338	ssa-mir-1338 [Source:miRBase%3BAcc:MI0026479]
ENSSSAG00000000948	ssa03	.	protein_coding	tnrc6c1	trinucleotide repeat-containing gene 6C protein-like [Source:NCBI gene%3BAcc:106601795]
ENSSSAG00000000958	ssa03	.	lncRNA		
ENSSSAG00000000962	ssa03	.	lncRNA		
ENSSSAG00000000969	ssa01	.	protein_coding		
ENSSSAG00000000981	ssa01	.	lncRNA		
ENSSSAG00000000990	ssa03	.	snoRNA		
ENSSSAG00000000993	ssa03	.	snoRNA		
ENSSSAG00000000994	ssa03	.	lncRNA		
ENSSSAG00000000995	ssa03	.	snoRNA		
ENSSSAG00000000996	ssa01	.	miRNA	ssa-mir-146a-2	ssa-mir-146a-2 [Source:miRBase%3BAcc:MI0026508]
ENSSSAG00000001019	ssa03	.	lncRNA		
ENSSSAG00000001025	ssa03	.	protein_coding	DCAF7	DDB1- and CUL4-associated factor 7-like [Source:NCBI gene%3BAcc:106601536]
ENSSSAG00000001035	ssa02	.	protein_coding		
ENSSSAG00000001036	ssa03	.	lncRNA		
ENSSSAG00000001042	ssa02	.	lncRNA		
ENSSSAG00000001044	ssa02	.	lncRNA		
ENSSSAG00000001045	ssa02	.	snRNA	U6	U6 spliceosomal RNA [Source:RFAM%3BAcc:RF00026]
ENSSSAG00000001046	ssa02	.	lncRNA		
ENSSSAG00000001048	ssa02	.	snRNA	U6	U6 spliceosomal RNA [Source:RFAM%3BAcc:RF00026]
ENSSSAG00000001049	ssa02	.	lncRNA		
ENSSSAG00000001050	ssa02	.	snRNA	U6	U6 spliceosomal RNA [Source:RFAM%3BAcc:RF00026]
ENSSSAG00000001052	ssa02	.	snRNA	U6	U6 spliceosomal RNA [Source:RFAM%3BAcc:RF00026]
ENSSSAG00000001057	ssa02	.	pseudogene		
ENSSSAG00000001066	ssa02	.	pseudogene		
ENSSSAG00000001069	ssa03	.	miRNA	ssa-mir-7132a	ssa-mir-7132a [Source:miRBase%3BAcc:MI0026721]
ENSSSAG00000001104	ssa02	.	lncRNA		
ENSSSAG00000001109	ssa02	.	protein_coding	kith	Thymidine kinase%2C cytosolic [Source:NCBI gene%3BAcc:100196419]
ENSSSAG00000001127	ssa03	.	snoRNA		
ENSSSAG00000001135	ssa02	.	lncRNA		
ENSSSAG00000001136	ssa02	.	lncRNA		
ENSSSAG00000001137	ssa03	.	snoRNA		
ENSSSAG00000001139	ssa03	.	snoRNA		
ENSSSAG00000001144	ssa02	.	snRNA	U7	U7 small nuclear RNA [Source:RFAM%3BAcc:RF00066]
ENSSSAG00000001155	ssa03	.	snoRNA		
ENSSSAG00000001156	ssa01	.	protein_coding	u2af1	splicing factor U2AF 35 kDa subunit-like [Source:NCBI gene%3BAcc:106562758]
ENSSSAG00000001159	ssa03	.	lncRNA		
ENSSSAG00000001164	ssa01	.	lncRNA		
ENSSSAG00000001175	ssa01	.	lncRNA		
ENSSSAG00000001177	ssa03	.	protein_coding	ddx42	ATP-dependent RNA helicase DDX42-like [Source:NCBI gene%3BAcc:106601605]
ENSSSAG00000001184	ssa01	.	lncRNA		
ENSSSAG00000001186	ssa03	.	lncRNA		
ENSSSAG00000001201	ssa01	.	lncRNA		
ENSSSAG00000001205	ssa01	.	pseudogene		
ENSSSAG00000001208	ssa02	.	miRNA	ssa-mir-722-1	ssa-mir-722-1 [Source:miRBase%3BAcc:MI0026722]
ENSSSAG00000001219	ssa01	.	pseudogene		brefeldin A-inhibited guanine nucleotide-exchange protein 3-like [Source:NCBI gene%3BAcc:106610838]
ENSSSAG00000001221	ssa02	.	pseudogene		immediate early response gene 2 protein-like [Source:NCBI gene%3BAcc:106590650]
ENSSSAG00000001222	ssa02	.	protein_coding	sec23b	SEC23 homolog B%2C COPII coat complex component [Source:NCBI gene%3BAcc:106588882]
ENSSSAG00000001252	ssa02	.	snoRNA		
ENSSSAG00000001283	ssa01	.	lncRNA		
ENSSSAG00000001303	ssa03	.	lncRNA		
ENSSSAG00000001309	ssa01	.	snRNA	U7	U7 small nuclear RNA [Source:RFAM%3BAcc:RF00066]
ENSSSAG00000001310	ssa01	.	lncRNA		
ENSSSAG00000001312	ssa01	.	protein_coding		
ENSSSAG00000001315	ssa01	.	lncRNA		uncharacterized LOC106563357 [Source:NCBI gene%3BAcc:106563357]
ENSSSAG00000001316	ssa01	.	pseudogene		
ENSSSAG00000001331	ssa04	.	lncRNA		
ENSSSAG00000001333	ssa02	.	snoRNA		
ENSSSAG00000001335	ssa02	.	snoRNA		
ENSSSAG00000001336	ssa02	.	snoRNA	SNORA70	Small nucleolar RNA SNORA70 [Source:RFAM%3BAcc:RF00156]
ENSSSAG00000001337	ssa02	.	snoRNA		
ENSSSAG00000001339	ssa02	.	snoRNA		
ENSSSAG00000001341	ssa02	.	snoRNA		
ENSSSAG00000001349	ssa03	.	protein_coding		hematological and neurological expressed 1 protein-like [Source:NCBI gene%3BAcc:106601801]
ENSSSAG00000001352	ssa02	.	lncRNA		
ENSSSAG00000001354	ssa03	.	protein_coding	SUMO2	small ubiquitin-related modifier 2 [Source:NCBI gene%3BAcc:106601802]
ENSSSAG00000001372	ssa04	.	lncRNA		
ENSSSAG00000001382	ssa03	.	protein_coding	arhgdia	rho GDP-dissociation inhibitor 1-like [Source:NCBI gene%3BAcc:106601428]
ENSSSAG00000001386	ssa02	.	processed_pseudogene		
ENSSSAG00000001388	ssa03	.	protein_coding	recql5	RecQ helicase-like 5 [Source:ZFIN%3BAcc:ZDB-GENE-071214-1]
ENSSSAG00000001390	ssa02	.	lncRNA		
ENSSSAG00000001393	ssa02	.	lncRNA		
ENSSSAG00000001395	ssa02	.	lncRNA		
ENSSSAG00000001398	ssa03	.	lncRNA		
ENSSSAG00000001408	ssa01	.	lncRNA		
ENSSSAG00000001410	ssa03	.	protein_coding	xylt2	xylosyltransferase II [Source:ZFIN%3BAcc:ZDB-GENE-081022-125]
ENSSSAG00000001421	ssa02	.	snoRNA		
ENSSSAG00000001434	ssa04	.	lncRNA		
ENSSSAG00000001440	ssa01	.	snRNA	U7	U7 small nuclear RNA [Source:RFAM%3BAcc:RF00066]
ENSSSAG00000001441	ssa03	.	lncRNA		
ENSSSAG00000001443	ssa03	.	lncRNA		
ENSSSAG00000001447	ssa04	.	lncRNA		
ENSSSAG00000001449	ssa02	.	lncRNA		
ENSSSAG00000001456	ssa02	.	lncRNA		
ENSSSAG00000001458	ssa03	.	pseudogene		
ENSSSAG00000001470	ssa03	.	protein_coding	THOC4	THO complex subunit 4-like [Source:NCBI gene%3BAcc:106601423]
ENSSSAG00000001482	ssa02	.	lncRNA		
ENSSSAG00000001504	ssa03	.	miRNA	ssa-mir-150	ssa-mir-150 [Source:miRBase%3BAcc:MI0026515]
ENSSSAG00000001509	ssa01	.	lncRNA		
ENSSSAG00000001547	ssa03	.	lncRNA		
ENSSSAG00000001549	ssa03	.	protein_coding	cln3	CLN3 lysosomal/endosomal transmembrane protein%2C battenin [Source:NCBI gene%3BAcc:106600710]
ENSSSAG00000001556	ssa03	.	lncRNA		
ENSSSAG00000001562	ssa01	.	processed_pseudogene		
ENSSSAG00000001565	ssa03	.	protein_coding		germ cell-specific gene 1-like protein [Source:NCBI gene%3BAcc:106601444]
ENSSSAG00000001572	ssa03	.	lncRNA		
ENSSSAG00000001579	ssa03	.	protein_coding	dhrs7ca	dehydrogenase/reductase SDR family member 7C-B-like [Source:NCBI gene%3BAcc:106601446]
ENSSSAG00000001604	ssa03	.	lncRNA		
ENSSSAG00000001606	ssa03	.	lncRNA		
ENSSSAG00000001607	ssa03	.	lncRNA		
ENSSSAG00000001616	ssa03	.	lncRNA		
ENSSSAG00000001617	ssa01	.	lncRNA		
ENSSSAG00000001619	ssa03	.	protein_coding		splicing factor U2AF 65 kDa subunit-like [Source:NCBI gene%3BAcc:106601453]
ENSSSAG00000001620	ssa03	.	lncRNA		
ENSSSAG00000001622	ssa04	.	snRNA	U7	U7 small nuclear RNA [Source:RFAM%3BAcc:RF00066]
ENSSSAG00000001626	ssa03	.	snoRNA		
ENSSSAG00000001658	ssa03	.	protein_coding	mif4gdb	MIF4G domain-containing protein B [Source:NCBI gene%3BAcc:106601806]
ENSSSAG00000001663	ssa03	.	pseudogene		
ENSSSAG00000001666	ssa03	.	protein_coding	slc25a19	mitochondrial thiamine pyrophosphate carrier-like [Source:NCBI gene%3BAcc:106601805]
ENSSSAG00000001684	ssa03	.	protein_coding	rpl3l	60S ribosomal protein L3-like [Source:NCBI gene%3BAcc:106601812]
ENSSSAG00000001703	ssa03	.	snoRNA	SNORA71	Small nucleolar RNA SNORA71 [Source:RFAM%3BAcc:RF00056]
ENSSSAG00000001713	ssa03	.	protein_coding	ndufb10	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10-like [Source:NCBI gene%3BAcc:106601814]
ENSSSAG00000001723	ssa03	.	lncRNA		
ENSSSAG00000001732	ssa03	.	protein_coding	rps2	40S ribosomal protein S2 [Source:NCBI gene%3BAcc:106601815]
ENSSSAG00000001735	ssa03	.	protein_coding		
ENSSSAG00000001737	ssa03	.	lncRNA		
ENSSSAG00000001738	ssa04	.	lncRNA		aspartoacylase [Source:NCBI gene%3BAcc:106603514]
ENSSSAG00000001754	ssa02	.	protein_coding	abcc6a	multidrug resistance-associated protein 1-like [Source:NCBI gene%3BAcc:106588920]
ENSSSAG00000001765	ssa03	.	snoRNA		
ENSSSAG00000001769	ssa03	.	rRNA	5S_rRNA	5S ribosomal RNA [Source:RFAM%3BAcc:RF00001]
ENSSSAG00000001788	ssa01	.	miRNA	ssa-mir-338a-3	ssa-mir-338a-3 [Source:miRBase%3BAcc:MI0026686]
ENSSSAG00000001797	ssa03	.	protein_coding	crb3a	crumbs homolog 3a [Source:ZFIN%3BAcc:ZDB-GENE-060610-2]
ENSSSAG00000001827	ssa03	.	lncRNA		
ENSSSAG00000001842	ssa03	.	lncRNA		
ENSSSAG00000001847	ssa01	.	lncRNA		
ENSSSAG00000001854	ssa05	.	lncRNA		
ENSSSAG00000001869	ssa03	.	protein_coding	polr3h	DNA-directed RNA polymerase III subunit RPC8-like [Source:NCBI gene%3BAcc:106601238]
ENSSSAG00000001876	ssa03	.	miRNA	ssa-mir-723-2	ssa-mir-723-2 [Source:miRBase%3BAcc:MI0026725]
ENSSSAG00000001877	ssa03	.	protein_coding	slc4a1a	band 3 anion exchange protein [Source:NCBI gene%3BAcc:100380859]
ENSSSAG00000001878	ssa02	.	pseudogene		
ENSSSAG00000001892	ssa02	.	lncRNA		
ENSSSAG00000001908	ssa03	.	lncRNA		
ENSSSAG00000001915	ssa05	.	lncRNA		
ENSSSAG00000001925	ssa03	.	snoRNA		
ENSSSAG00000001935	ssa02	.	lncRNA		
ENSSSAG00000001937	ssa02	.	lncRNA		
ENSSSAG00000001939	ssa02	.	lncRNA		
ENSSSAG00000001946	ssa03	.	miRNA	ssa-mir-133a-3	ssa-mir-133a-3 [Source:miRBase%3BAcc:MI0026483]
ENSSSAG00000001948	ssa03	.	miRNA	ssa-mir-1-2	ssa-mir-1-2 [Source:miRBase%3BAcc:MI0026578]
ENSSSAG00000001951	ssa02	.	lncRNA		
ENSSSAG00000001952	ssa02	.	lncRNA		
ENSSSAG00000001959	ssa02	.	lncRNA		
ENSSSAG00000001961	ssa05	.	lncRNA		
ENSSSAG00000001967	ssa04	.	protein_coding		
ENSSSAG00000001976	ssa01	.	pseudogene		
ENSSSAG00000002004	ssa02	.	lncRNA		uncharacterized LOC106586353 [Source:NCBI gene%3BAcc:106586353]
ENSSSAG00000002006	ssa02	.	lncRNA		
ENSSSAG00000002010	ssa03	.	snRNA	U5	U5 spliceosomal RNA [Source:RFAM%3BAcc:RF00020]
ENSSSAG00000002012	ssa03	.	snRNA	U2	U2 spliceosomal RNA [Source:RFAM%3BAcc:RF00004]
ENSSSAG00000002015	ssa02	.	snoRNA		
ENSSSAG00000002017	ssa02	.	snoRNA		
ENSSSAG00000002018	ssa02	.	snoRNA	SNORA71	Small nucleolar RNA SNORA71 [Source:RFAM%3BAcc:RF00056]
ENSSSAG00000002022	ssa03	.	snRNA	U5	U5 spliceosomal RNA [Source:RFAM%3BAcc:RF00020]
ENSSSAG00000002026	ssa03	.	snRNA	U2	U2 spliceosomal RNA [Source:RFAM%3BAcc:RF00004]
ENSSSAG00000002030	ssa03	.	snRNA	U2	U2 spliceosomal RNA [Source:RFAM%3BAcc:RF00004]
ENSSSAG00000002031	ssa03	.	snRNA	U2	U2 spliceosomal RNA [Source:RFAM%3BAcc:RF00004]
ENSSSAG00000002036	ssa03	.	snRNA	U5	U5 spliceosomal RNA [Source:RFAM%3BAcc:RF00020]
ENSSSAG00000002038	ssa03	.	snRNA	U2	U2 spliceosomal RNA [Source:RFAM%3BAcc:RF00004]
ENSSSAG00000002041	ssa03	.	snRNA	U5	U5 spliceosomal RNA [Source:RFAM%3BAcc:RF00020]
ENSSSAG00000002043	ssa03	.	snRNA	U5	U5 spliceosomal RNA [Source:RFAM%3BAcc:RF00020]
ENSSSAG00000002045	ssa01	.	lncRNA		
ENSSSAG00000002047	ssa05	.	lncRNA		uncharacterized LOC106605434 [Source:NCBI gene%3BAcc:106605434]
ENSSSAG00000002060	ssa01	.	pseudogene		psychosine receptor-like [Source:NCBI gene%3BAcc:106600869]
ENSSSAG00000002072	ssa06	.	lncRNA		
ENSSSAG00000002073	ssa01	.	pseudogene		
ENSSSAG00000002077	ssa05	.	vault_RNA	Vault	Vault RNA [Source:RFAM%3BAcc:RF00006]
ENSSSAG00000002081	ssa05	.	vault_RNA	Vault	Vault RNA [Source:RFAM%3BAcc:RF00006]
ENSSSAG00000002090	ssa05	.	lncRNA		
ENSSSAG00000002094	ssa06	.	lncRNA		
ENSSSAG00000002105	ssa04	.	protein_coding	znf330	zinc finger protein 330-like [Source:NCBI gene%3BAcc:106602343]
ENSSSAG00000002149	ssa05	.	lncRNA		
ENSSSAG00000002159	ssa06	.	lncRNA		
ENSSSAG00000002167	ssa05	.	snoRNA		
ENSSSAG00000002178	ssa06	.	lncRNA		
ENSSSAG00000002180	ssa09	.	lncRNA		
ENSSSAG00000002194	ssa01	.	pseudogene		
ENSSSAG00000002199	ssa07	.	lncRNA		
ENSSSAG00000002214	ssa09	.	snRNA	U7	U7 small nuclear RNA [Source:RFAM%3BAcc:RF00066]
ENSSSAG00000002218	ssa07	.	lncRNA		
ENSSSAG00000002221	ssa07	.	miRNA	ssa-mir-129-3	ssa-mir-129-3 [Source:miRBase%3BAcc:MI0026467]
ENSSSAG00000002222	ssa08	.	lncRNA		
ENSSSAG00000002225	ssa06	.	lncRNA		
ENSSSAG00000002227	ssa09	.	vault_RNA	Vault	Vault RNA [Source:RFAM%3BAcc:RF00006]
ENSSSAG00000002233	ssa09	.	vault_RNA	Vault	Vault RNA [Source:RFAM%3BAcc:RF00006]
ENSSSAG00000002235	ssa08	.	lncRNA		
ENSSSAG00000002239	ssa09	.	vault_RNA	Vault	Vault RNA [Source:RFAM%3BAcc:RF00006]
ENSSSAG00000002245	ssa09	.	miRNA		microRNA 124-3 [Source:HGNC Symbol%3BAcc:HGNC:31504]
ENSSSAG00000002249	ssa07	.	pseudogene		
ENSSSAG00000002265	ssa03	.	protein_coding	COPB2	coatomer subunit beta'-like [Source:NCBI gene%3BAcc:106599054]
ENSSSAG00000002273	ssa08	.	protein_coding	ma7d1	MAP7 domain-containing protein 1 [Source:NCBI gene%3BAcc:100195021]
ENSSSAG00000002275	ssa06	.	lncRNA		
ENSSSAG00000002285	ssa09	.	lncRNA		
ENSSSAG00000002299	ssa05	.	pseudogene		
ENSSSAG00000002306	ssa05	.	lncRNA		
ENSSSAG00000002309	ssa05	.	lncRNA		
ENSSSAG00000002316	ssa05	.	pseudogene		
ENSSSAG00000002323	ssa10	.	miRNA	ssa-mir-24a-2	ssa-mir-24a-2 [Source:miRBase%3BAcc:MI0026642]
ENSSSAG00000002327	ssa05	.	pseudogene		
ENSSSAG00000002329	ssa10	.	miRNA	ssa-mir-27c-1	ssa-mir-27c-1 [Source:miRBase%3BAcc:MI0026661]
ENSSSAG00000002330	ssa09	.	pseudogene		
ENSSSAG00000002332	ssa10	.	miRNA	ssa-mir-23a-4	ssa-mir-23a-4 [Source:miRBase%3BAcc:MI0026637]
ENSSSAG00000002341	ssa05	.	lncRNA		
ENSSSAG00000002347	ssa06	.	lncRNA		
ENSSSAG00000002353	ssa09	.	pseudogene		
ENSSSAG00000002359	ssa03	.	rRNA	5_8S_rRNA	5.8S ribosomal RNA [Source:RFAM%3BAcc:RF00002]
ENSSSAG00000002366	ssa09	.	lncRNA		
ENSSSAG00000002367	ssa07	.	snoRNA		
ENSSSAG00000002384	ssa09	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000002390	ssa05	.	rRNA	5S_rRNA	5S ribosomal RNA [Source:RFAM%3BAcc:RF00001]
ENSSSAG00000002409	ssa05	.	lncRNA		
ENSSSAG00000002411	ssa05	.	lncRNA		
ENSSSAG00000002412	ssa02	.	lncRNA		uncharacterized LOC106588965 [Source:NCBI gene%3BAcc:106588965]
ENSSSAG00000002413	ssa05	.	lncRNA		
ENSSSAG00000002420	ssa05	.	lncRNA		
ENSSSAG00000002425	ssa05	.	miRNA	ssa-let-7d-1	ssa-let-7d-1 [Source:miRBase%3BAcc:MI0026754]
ENSSSAG00000002426	ssa04	.	snRNA	U7	U7 small nuclear RNA [Source:RFAM%3BAcc:RF00066]
ENSSSAG00000002429	ssa05	.	miRNA	ssa-mir-125b-1	ssa-mir-125b-1 [Source:miRBase%3BAcc:MI0026454]
