gene_id	worst_effect
ENSSSAG00000001941	identical
ENSSSAG00000002003	synonymous
ENSSSAG00000002886	identical
ENSSSAG00000002904	frameshift
ENSSSAG00000002976	identical
ENSSSAG00000003286	identical
ENSSSAG00000003298	identical
ENSSSAG00000003322	identical
ENSSSAG00000038759	identical
ENSSSAG00000003414	identical
ENSSSAG00000003444	identical
ENSSSAG00000003522	identical
ENSSSAG00000003545	identical
ENSSSAG00000003564	identical
ENSSSAG00000020347	identical
ENSSSAG00000003723	frameshift
ENSSSAG00000003732	identical
ENSSSAG00000003735	synonymous
ENSSSAG00000003748	identical
ENSSSAG00000003787	identical
ENSSSAG00000003789	identical
ENSSSAG00000003792	identical
ENSSSAG00000003797	identical
ENSSSAG00000003806	identical
ENSSSAG00000003815	identical
ENSSSAG00000003879	identical
ENSSSAG00000003890	synonymous
ENSSSAG00000004076	identical
ENSSSAG00000004091	identical
ENSSSAG00000004104	identical
ENSSSAG00000004186	identical
ENSSSAG00000005082	identical
ENSSSAG00000005087	nonsynonymous
ENSSSAG00000005091	identical
ENSSSAG00000005096	frameshift
ENSSSAG00000005107	frameshift
ENSSSAG00000005115	identical
ENSSSAG00000005120	nonsynonymous
ENSSSAG00000005130	synonymous
ENSSSAG00000005135	identical
ENSSSAG00000005331	frameshift
ENSSSAG00000007092	nonsynonymous
ENSSSAG00000007096	identical
ENSSSAG00000007106	identical
ENSSSAG00000007117	synonymous
ENSSSAG00000007122	nonsynonymous
ENSSSAG00000007135	identical
ENSSSAG00000007139	identical
ENSSSAG00000007145	nonsynonymous
ENSSSAG00000007165	inframe_insertion
ENSSSAG00000007171	identical
ENSSSAG00000007182	frameshift
ENSSSAG00000007278	synonymous
ENSSSAG00000014992	synonymous
ENSSSAG00000015039	identical
ENSSSAG00000015427	identical
ENSSSAG00000043349	nonsynonymous
ENSSSAG00000043419	identical
ENSSSAG00000043437	nonsynonymous
ENSSSAG00000043443	identical
ENSSSAG00000052106	synonymous
ENSSSAG00000043462	identical
ENSSSAG00000043473	nonsynonymous
ENSSSAG00000043480	identical
ENSSSAG00000043505	inframe_insertion
ENSSSAG00000043592	frameshift
ENSSSAG00000044179	identical
ENSSSAG00000044192	nonsynonymous
ENSSSAG00000044406	identical
ENSSSAG00000044412	identical
ENSSSAG00000044422	start_lost
ENSSSAG00000044611	frameshift
ENSSSAG00000049694	identical
ENSSSAG00000049707	identical
ENSSSAG00000049713	identical
ENSSSAG00000049726	nonsynonymous
ENSSSAG00000049735	synonymous
ENSSSAG00000049900	identical
ENSSSAG00000056648	identical
ENSSSAG00000056657	nonsynonymous
ENSSSAG00000000128	nonsynonymous
ENSSSAG00000000155	identical
ENSSSAG00000000188	nonsynonymous
ENSSSAG00000000661	identical
ENSSSAG00000001124	nonsynonymous
ENSSSAG00000001146	identical
ENSSSAG00000001264	identical
ENSSSAG00000001347	frameshift
ENSSSAG00000001477	identical
ENSSSAG00000001539	nonsynonymous
ENSSSAG00000001837	identical
ENSSSAG00000001838	synonymous
ENSSSAG00000001840	identical
ENSSSAG00000001857	frameshift
ENSSSAG00000001932	synonymous
ENSSSAG00000001958	nonsynonymous
ENSSSAG00000001968	synonymous
ENSSSAG00000001973	frameshift
ENSSSAG00000001979	frameshift
ENSSSAG00000001984	identical
ENSSSAG00000001995	identical
ENSSSAG00000002013	identical
ENSSSAG00000002055	frameshift
ENSSSAG00000002255	identical
ENSSSAG00000002284	identical
ENSSSAG00000002308	frameshift
ENSSSAG00000002380	identical
ENSSSAG00000002408	identical
ENSSSAG00000002471	identical
ENSSSAG00000002479	identical
ENSSSAG00000002486	identical
ENSSSAG00000002539	identical
ENSSSAG00000002637	identical
ENSSSAG00000002756	synonymous
ENSSSAG00000002995	identical
ENSSSAG00000003002	identical
ENSSSAG00000003013	identical
ENSSSAG00000003159	nonsynonymous
ENSSSAG00000004399	nonsynonymous
ENSSSAG00000004420	identical
ENSSSAG00000004511	identical
ENSSSAG00000004793	identical
ENSSSAG00000004914	identical
ENSSSAG00000004925	identical
ENSSSAG00000004952	identical
ENSSSAG00000005070	identical
ENSSSAG00000005117	synonymous
ENSSSAG00000005336	nonsynonymous
ENSSSAG00000005362	nonsynonymous
ENSSSAG00000005369	nonsynonymous
ENSSSAG00000005373	identical
ENSSSAG00000005424	inframe_deletion
ENSSSAG00000005709	identical
ENSSSAG00000005723	nonsynonymous
ENSSSAG00000005747	identical
ENSSSAG00000005769	identical
ENSSSAG00000005814	identical
ENSSSAG00000005833	identical
ENSSSAG00000005851	nonsynonymous
ENSSSAG00000006492	synonymous
ENSSSAG00000006672	nonsynonymous
ENSSSAG00000006691	identical
ENSSSAG00000006694	identical
ENSSSAG00000006782	identical
ENSSSAG00000009432	nonsynonymous
ENSSSAG00000009595	synonymous
ENSSSAG00000009610	inframe_insertion
ENSSSAG00000009678	identical
ENSSSAG00000009690	nonsynonymous
ENSSSAG00000009696	nonsynonymous
ENSSSAG00000009746	frameshift
ENSSSAG00000010383	nonsynonymous
ENSSSAG00000010474	identical
ENSSSAG00000010578	identical
ENSSSAG00000015350	nonsynonymous
ENSSSAG00000015877	nonsynonymous
ENSSSAG00000043245	identical
ENSSSAG00000043280	identical
ENSSSAG00000043377	nonsynonymous
ENSSSAG00000043387	nonsynonymous
ENSSSAG00000043396	identical
ENSSSAG00000043436	nonsynonymous
ENSSSAG00000043767	inframe_insertion
ENSSSAG00000043775	inframe_deletion
ENSSSAG00000043893	nonsynonymous
ENSSSAG00000043966	frameshift
ENSSSAG00000045316	synonymous
ENSSSAG00000045335	synonymous
ENSSSAG00000000238	synonymous
ENSSSAG00000000357	synonymous
ENSSSAG00000000387	identical
ENSSSAG00000000408	nonsynonymous
ENSSSAG00000000414	synonymous
ENSSSAG00000000424	identical
ENSSSAG00000000442	nonsynonymous
ENSSSAG00000000602	identical
ENSSSAG00000000976	frameshift
ENSSSAG00000001552	start_lost
ENSSSAG00000001557	identical
ENSSSAG00000001560	identical
ENSSSAG00000001567	nonsynonymous
ENSSSAG00000001667	frameshift
ENSSSAG00000002286	synonymous
ENSSSAG00000002567	synonymous
ENSSSAG00000002593	stop_gained
ENSSSAG00000002607	identical
ENSSSAG00000002641	identical
ENSSSAG00000002753	synonymous
ENSSSAG00000003036	nonsynonymous
ENSSSAG00000003295	synonymous
ENSSSAG00000003314	synonymous
ENSSSAG00000003364	nonsynonymous
ENSSSAG00000003439	identical
ENSSSAG00000003451	identical
ENSSSAG00000003458	identical
ENSSSAG00000003466	identical
ENSSSAG00000003482	identical
ENSSSAG00000003552	synonymous
ENSSSAG00000004307	identical
ENSSSAG00000004364	identical
ENSSSAG00000004378	synonymous
ENSSSAG00000004392	identical
ENSSSAG00000004405	frameshift
ENSSSAG00000004434	synonymous
ENSSSAG00000004570	start_lost
ENSSSAG00000005519	frameshift
ENSSSAG00000005692	frameshift
ENSSSAG00000005749	identical
ENSSSAG00000005830	start_lost
ENSSSAG00000006881	identical
ENSSSAG00000006892	identical
ENSSSAG00000006982	nonsynonymous
ENSSSAG00000007620	inframe_insertion
ENSSSAG00000007631	identical
ENSSSAG00000007635	identical
ENSSSAG00000007643	nonsynonymous
ENSSSAG00000007758	identical
ENSSSAG00000007775	identical
ENSSSAG00000007783	identical
ENSSSAG00000007916	frameshift
ENSSSAG00000015443	identical
ENSSSAG00000015487	identical
ENSSSAG00000015520	identical
ENSSSAG00000015579	inframe_deletion
ENSSSAG00000015602	identical
ENSSSAG00000015639	identical
ENSSSAG00000015812	identical
ENSSSAG00000040142	identical
ENSSSAG00000040275	identical
ENSSSAG00000040331	identical
ENSSSAG00000040430	identical
ENSSSAG00000040444	identical
ENSSSAG00000040538	frameshift
ENSSSAG00000040581	identical
ENSSSAG00000040584	identical
ENSSSAG00000040987	identical
ENSSSAG00000051698	frameshift
ENSSSAG00000051717	identical
ENSSSAG00000051724	identical
ENSSSAG00000051730	identical
ENSSSAG00000051736	identical
ENSSSAG00000051754	identical
ENSSSAG00000051757	identical
ENSSSAG00000051763	identical
ENSSSAG00000051767	identical
ENSSSAG00000051774	identical
ENSSSAG00000051802	identical
ENSSSAG00000051814	identical
ENSSSAG00000051825	nonsynonymous
ENSSSAG00000051847	identical
ENSSSAG00000051888	frameshift
ENSSSAG00000000215	identical
ENSSSAG00000000550	frameshift
ENSSSAG00000000563	identical
ENSSSAG00000000598	identical
ENSSSAG00000000890	nonsynonymous
ENSSSAG00000001577	synonymous
ENSSSAG00000001585	identical
ENSSSAG00000001590	identical
ENSSSAG00000001608	inframe_deletion
ENSSSAG00000001687	identical
ENSSSAG00000001690	synonymous
ENSSSAG00000001695	frameshift
ENSSSAG00000001786	synonymous
ENSSSAG00000002049	inframe_insertion
ENSSSAG00000002087	identical
ENSSSAG00000002092	identical
ENSSSAG00000002097	identical
ENSSSAG00000002110	identical
ENSSSAG00000002115	identical
ENSSSAG00000002126	identical
ENSSSAG00000002203	synonymous
ENSSSAG00000002769	nonsynonymous
ENSSSAG00000004406	nonsynonymous
ENSSSAG00000004430	identical
ENSSSAG00000004732	identical
ENSSSAG00000005382	frameshift
ENSSSAG00000005387	identical
ENSSSAG00000005395	nonsynonymous
ENSSSAG00000005423	identical
ENSSSAG00000005599	synonymous
ENSSSAG00000005656	identical
ENSSSAG00000006332	start_lost
ENSSSAG00000009012	identical
ENSSSAG00000009786	synonymous
ENSSSAG00000063974	identical
ENSSSAG00000063988	identical
ENSSSAG00000063994	identical
ENSSSAG00000063995	identical
ENSSSAG00000064084	identical
ENSSSAG00000064087	identical
ENSSSAG00000064093	identical
ENSSSAG00000064105	nonsynonymous
ENSSSAG00000064133	synonymous
ENSSSAG00000064144	identical
ENSSSAG00000008618	frameshift
ENSSSAG00000064146	identical
ENSSSAG00000064185	identical
ENSSSAG00000065772	identical
ENSSSAG00000065785	identical
ENSSSAG00000065846	identical
ENSSSAG00000065856	identical
ENSSSAG00000065859	nonsynonymous
ENSSSAG00000065864	identical
ENSSSAG00000065866	nonsynonymous
ENSSSAG00000065872	identical
ENSSSAG00000065888	identical
ENSSSAG00000065893	identical
ENSSSAG00000065913	identical
ENSSSAG00000065930	nonsynonymous
ENSSSAG00000066011	identical
ENSSSAG00000066101	nonsynonymous
ENSSSAG00000071501	nonsynonymous
ENSSSAG00000071642	synonymous
ENSSSAG00000071695	frameshift
ENSSSAG00000071720	synonymous
ENSSSAG00000071739	nonsynonymous
ENSSSAG00000072635	identical
ENSSSAG00000072645	synonymous
ENSSSAG00000072849	identical
ENSSSAG00000076828	nonsynonymous
ENSSSAG00000076831	synonymous
ENSSSAG00000076941	identical
ENSSSAG00000076945	synonymous
ENSSSAG00000076953	nonsynonymous
ENSSSAG00000076969	identical
ENSSSAG00000076988	identical
ENSSSAG00000076989	synonymous
ENSSSAG00000077003	identical
ENSSSAG00000077666	identical
ENSSSAG00000077671	synonymous
ENSSSAG00000077685	identical
ENSSSAG00000077694	identical
ENSSSAG00000077707	synonymous
ENSSSAG00000077787	identical
ENSSSAG00000077789	nonsynonymous
ENSSSAG00000034089	identical
ENSSSAG00000034160	synonymous
ENSSSAG00000034634	identical
ENSSSAG00000034734	nonsynonymous
ENSSSAG00000034990	identical
ENSSSAG00000036764	inframe_deletion
ENSSSAG00000039771	identical
ENSSSAG00000039831	frameshift
ENSSSAG00000039982	identical
ENSSSAG00000039992	identical
ENSSSAG00000040005	identical
ENSSSAG00000040054	identical
ENSSSAG00000040068	identical
ENSSSAG00000040118	synonymous
ENSSSAG00000040134	identical
ENSSSAG00000040257	identical
ENSSSAG00000040551	identical
ENSSSAG00000040761	frameshift
ENSSSAG00000044043	nonsynonymous
ENSSSAG00000044056	nonsynonymous
ENSSSAG00000044077	identical
ENSSSAG00000044143	frameshift
ENSSSAG00000044468	identical
ENSSSAG00000044488	identical
ENSSSAG00000044526	synonymous
ENSSSAG00000044600	frameshift
ENSSSAG00000044699	frameshift
ENSSSAG00000044977	identical
ENSSSAG00000045072	identical
ENSSSAG00000045088	identical
ENSSSAG00000045132	identical
ENSSSAG00000045500	identical
ENSSSAG00000045512	nonsynonymous
ENSSSAG00000045547	nonsynonymous
ENSSSAG00000046330	synonymous
ENSSSAG00000046574	nonsynonymous
ENSSSAG00000046587	identical
ENSSSAG00000046590	identical
ENSSSAG00000046898	identical
ENSSSAG00000066013	nonsynonymous
ENSSSAG00000066022	nonsynonymous
ENSSSAG00000066049	nonsynonymous
ENSSSAG00000066058	identical
ENSSSAG00000066081	identical
ENSSSAG00000066205	nonsynonymous
ENSSSAG00000066213	nonsynonymous
ENSSSAG00000066239	identical
ENSSSAG00000066262	identical
ENSSSAG00000066504	inframe_deletion
ENSSSAG00000069930	identical
ENSSSAG00000070010	3'_truncated
ENSSSAG00000070012	identical
ENSSSAG00000070017	identical
ENSSSAG00000070026	frameshift
ENSSSAG00000070050	identical
ENSSSAG00000070390	frameshift
ENSSSAG00000076492	nonsynonymous
ENSSSAG00000076500	inframe_insertion
ENSSSAG00000076520	nonsynonymous
ENSSSAG00000076554	nonsynonymous
ENSSSAG00000076556	nonsynonymous
ENSSSAG00000076564	identical
ENSSSAG00000076601	identical
ENSSSAG00000076605	identical
ENSSSAG00000076616	synonymous
ENSSSAG00000076651	nonsynonymous
ENSSSAG00000076922	identical
ENSSSAG00000076925	identical
ENSSSAG00000076963	frameshift
ENSSSAG00000077374	nonsynonymous
ENSSSAG00000077394	identical
ENSSSAG00000077395	identical
ENSSSAG00000077400	identical
ENSSSAG00000077406	identical
ENSSSAG00000077473	start_lost
ENSSSAG00000078035	frameshift
ENSSSAG00000078380	synonymous
ENSSSAG00000078386	identical
ENSSSAG00000078392	frameshift
ENSSSAG00000035673	nonsynonymous
ENSSSAG00000042714	synonymous
ENSSSAG00000043824	synonymous
ENSSSAG00000044007	identical
ENSSSAG00000044138	frameshift
ENSSSAG00000045091	identical
ENSSSAG00000045145	inframe_insertion
ENSSSAG00000045210	stop_gained
ENSSSAG00000045403	synonymous
ENSSSAG00000045425	identical
ENSSSAG00000045797	nonsynonymous
ENSSSAG00000045855	identical
ENSSSAG00000046366	frameshift
ENSSSAG00000050905	frameshift
ENSSSAG00000050914	synonymous
ENSSSAG00000050920	nonsynonymous
ENSSSAG00000050924	synonymous
ENSSSAG00000050932	nonsynonymous
ENSSSAG00000050948	nonsynonymous
ENSSSAG00000051056	nonsynonymous
ENSSSAG00000051996	frameshift
ENSSSAG00000053312	identical
ENSSSAG00000053423	nonsynonymous
ENSSSAG00000054880	nonsynonymous
ENSSSAG00000056551	nonsynonymous
ENSSSAG00000056560	frameshift
ENSSSAG00000056596	identical
ENSSSAG00000056628	synonymous
ENSSSAG00000056726	nonsynonymous
ENSSSAG00000056729	frameshift
ENSSSAG00000056731	identical
ENSSSAG00000056735	synonymous
ENSSSAG00000056753	nonsynonymous
ENSSSAG00000056832	identical
ENSSSAG00000056843	identical
ENSSSAG00000056855	identical
ENSSSAG00000056880	identical
ENSSSAG00000056912	nonsynonymous
ENSSSAG00000056944	inframe_deletion
ENSSSAG00000057142	identical
ENSSSAG00000057154	nonsynonymous
ENSSSAG00000057171	identical
ENSSSAG00000057176	nonsynonymous
ENSSSAG00000057190	synonymous
ENSSSAG00000057327	identical
ENSSSAG00000057335	identical
ENSSSAG00000057345	nonsynonymous
ENSSSAG00000057365	identical
ENSSSAG00000059153	synonymous
ENSSSAG00000059159	identical
ENSSSAG00000059165	nonsynonymous
ENSSSAG00000059323	synonymous
ENSSSAG00000061530	nonsynonymous
ENSSSAG00000061759	nonsynonymous
ENSSSAG00000064483	nonsynonymous
ENSSSAG00000064496	nonsynonymous
ENSSSAG00000064510	synonymous
ENSSSAG00000064521	identical
ENSSSAG00000064816	frameshift
ENSSSAG00000074536	synonymous
ENSSSAG00000074548	inframe_insertion
ENSSSAG00000074554	identical
ENSSSAG00000074691	identical
ENSSSAG00000074694	identical
ENSSSAG00000074697	identical
ENSSSAG00000074702	identical
ENSSSAG00000074705	identical
ENSSSAG00000074715	identical
ENSSSAG00000074716	identical
ENSSSAG00000074720	identical
ENSSSAG00000074730	identical
ENSSSAG00000074735	identical
ENSSSAG00000074748	nonsynonymous
ENSSSAG00000074752	identical
ENSSSAG00000074759	identical
ENSSSAG00000074781	synonymous
ENSSSAG00000074782	identical
ENSSSAG00000074785	identical
ENSSSAG00000074787	identical
ENSSSAG00000074800	identical
ENSSSAG00000074804	identical
ENSSSAG00000074824	identical
ENSSSAG00000074837	identical
ENSSSAG00000074836	identical
ENSSSAG00000074876	identical
ENSSSAG00000075891	identical
